MIRKWOOD	GPE	ReturnKing	book
MIRKWOOD	GPE	Fellows	book
MIRKWOOD	GPE	TwoTow	book
HARAD	ORG	ReturnKing	book
HARAD	ORG	Fellows	book
HARAD	ORG	TwoTow	book
SPEECH	ORG	ReturnKing	book
SPEECH	ORG	Fellows	book
SPEECH	ORG	TwoTow	book
ERNIL I	ORG	ReturnKing	book
TUCKBOROUGH	GPE	ReturnKing	book
TUCKBOROUGH	GPE	Fellows	book
TUCKBOROUGH	GPE	TwoTow	book
BERGIL	GPE	ReturnKing	book
ROAD	FAC	ReturnKing	book
ROAD	FAC	Fellows	book
ROAD	FAC	TwoTow	book
DERVORIN	NORP	ReturnKing	book
DERUFIN	GPE	ReturnKing	book
ANFALAS	ORG	ReturnKing	book
LAMEDON	ORG	ReturnKing	book
ETHIR	ORG	ReturnKing	book
ETHIR	ORG	Fellows	book
HIRLUIN	ORG	ReturnKing	book
FAIR	ORG	ReturnKing	book
FAIR	ORG	Fellows	book
FAIR	ORG	TwoTow	book
GREEN	ORG	ReturnKing	book
GREEN	ORG	Fellows	book
GREEN	ORG	TwoTow	book
HULLO	ORG	ReturnKing	book
HULLO	ORG	Fellows	book
HULLO	ORG	TwoTow	book
GREY	ORG	ReturnKing	book
GREY	ORG	Fellows	book
GREY	ORG	TwoTow	book
PARTH GALEN	FAC	ReturnKing	book
PARTH GALEN	FAC	Fellows	book
PARTH GALEN	FAC	TwoTow	book
HASUFEL	GPE	ReturnKing	book
HASUFEL	GPE	TwoTow	book
EDORAS	ORG	ReturnKing	book
EDORAS	ORG	Fellows	book
EDORAS	ORG	TwoTow	book
DWARF	ORG	ReturnKing	book
DWARF	ORG	Fellows	book
DWARF	ORG	TwoTow	book
MEDUSELD	GPE	ReturnKing	book
MEDUSELD	GPE	TwoTow	book
FORD	ORG	ReturnKing	book
FORD	ORG	Fellows	book
FORD	ORG	TwoTow	book
ELLADAN	ORG	ReturnKing	book
ELLADAN	ORG	Fellows	book
ELROHIR	ORG	ReturnKing	book
ELROHIR	ORG	Fellows	book
RIVENDELL	GPE	ReturnKing	book
RIVENDELL	GPE	Fellows	book
RIVENDELL	GPE	TwoTow	book
ELF	ORG	ReturnKing	book
ELF	ORG	Fellows	book
ELF	ORG	TwoTow	book
BEAR	ORG	ReturnKing	book
BEAR	ORG	Fellows	book
BEAR	ORG	TwoTow	book
HORNBURG	GPE	ReturnKing	book
HORNBURG	GPE	TwoTow	book
BURG	FAC	ReturnKing	book
ELVEN	ORG	ReturnKing	book
ELVEN	ORG	Fellows	book
ELVEN	ORG	TwoTow	book
WOOD	ORG	ReturnKing	book
WOOD	ORG	Fellows	book
WOOD	ORG	TwoTow	book
HELM	GPE	ReturnKing	book
HELM	GPE	TwoTow	book
COOMB	LOC	ReturnKing	book
COOMB	LOC	TwoTow	book
HUORN	GPE	ReturnKing	book
HUORN	GPE	TwoTow	book
DUNHARROW	GPE	ReturnKing	book
DUNHARROW	GPE	TwoTow	book
RANGERS	ORG	ReturnKing	book
RANGERS	ORG	Fellows	book
RANGERS	ORG	TwoTow	book
SNOWMANE	LOC	ReturnKing	book
SNOWMANE	LOC	TwoTow	book
MOON	LOC	ReturnKing	book
MOON	LOC	Fellows	book
MOON	LOC	TwoTow	book
FANGORN	GPE	ReturnKing	book
FANGORN	GPE	Fellows	book
FANGORN	GPE	TwoTow	book
ARVEDUI	LOC	ReturnKing	book
FORNOST	GPE	ReturnKing	book
FORNOST	GPE	Fellows	book
THE TOWER	ORG	ReturnKing	book
THE TOWER	ORG	TwoTow	book
ERECH	NORP	ReturnKing	book
DOOR	ORG	ReturnKing	book
DOOR	ORG	Fellows	book
DOOR	ORG	TwoTow	book
N�	ORG	ReturnKing	book
N�	ORG	Fellows	book
N�	ORG	TwoTow	book
LORDS	ORG	ReturnKing	book
LORDS	ORG	Fellows	book
LORDS	ORG	TwoTow	book
HARROWDALE	ORG	ReturnKing	book
