word	nodeType	unit
funky	ADJ	vol-7
least	ADJ	vol-7
little	ADJ	vol-7
cheap	ADJ	vol-7
elementary	ADJ	vol-7
same	ADJ	vol-7
mad	ADJ	vol-7
mad	ADJ	vol-7
strained	ADJ	vol-7
double	ADJ	vol-7
tired	ADJ	vol-7
fake	ADJ	vol-7
braided	ADJ	vol-7
technical	ADJ	vol-7
okay	ADJ	vol-7
great	ADJ	vol-7
right	ADJ	vol-7
nervous	ADJ	vol-7
little	ADJ	vol-7
old	ADJ	vol-7
okay	ADJ	vol-7
wonderful	ADJ	vol-7
upper	ADJ	vol-7
right	ADJ	vol-7
able	ADJ	vol-7
top	ADJ	vol-7
certain	ADJ	vol-7
amazing	ADJ	vol-7
true	ADJ	vol-7
mammoth	ADJ	vol-7
fun	ADJ	vol-7
artistic	ADJ	vol-7
valuable	ADJ	vol-7
little	ADJ	vol-7
little	ADJ	vol-7
dumb	ADJ	vol-7
similar	ADJ	vol-7
careful	ADJ	vol-5
first	ADJ	vol-5
real	ADJ	vol-5
sound	ADJ	vol-5
donnnn	ADJ	vol-5
damn	ADJ	vol-5
weird	ADJ	vol-5
sorry	ADJ	vol-5
simple	ADJ	vol-5
german	ADJ	vol-5
able	ADJ	vol-5
much	ADJ	vol-5
partial	ADJ	vol-5
well	ADJ	vol-5
black	ADJ	vol-5
white	ADJ	vol-5
old	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
old	ADJ	vol-4
weird	ADJ	vol-4
weird	ADJ	vol-4
mysterious	ADJ	vol-4
cool	ADJ	vol-4
other	ADJ	vol-4
last	ADJ	vol-4
correct	ADJ	vol-4
cruel	ADJ	vol-4
real	ADJ	vol-4
real	ADJ	vol-4
long	ADJ	vol-4
same	ADJ	vol-4
nervous	ADJ	vol-4
stupid	ADJ	vol-4
weird	ADJ	vol-4
new	ADJ	vol-4
special	ADJ	vol-4
big	ADJ	vol-4
interesting	ADJ	vol-4
dead	ADJ	vol-4
high	ADJ	vol-4
high	ADJ	vol-4
Most	ADJ	vol-4
good	ADJ	vol-4
real	ADJ	vol-4
axe	ADJ	vol-4
good	ADJ	vol-4
alive	ADJ	vol-4
former	ADJ	vol-4
same	ADJ	vol-4
painful	ADJ	vol-4
secondary	ADJ	vol-4
normal	ADJ	vol-4
little	ADJ	vol-4
hilarious	ADJ	vol-4
mysterious	ADJ	vol-4
normal	ADJ	vol-4
other	ADJ	vol-4
honest	ADJ	vol-4
great	ADJ	vol-4
much	ADJ	vol-4
expensive	ADJ	vol-4
d	ADJ	vol-4
patient	ADJ	vol-4
young	ADJ	vol-4
old	ADJ	vol-4
disrespectful	ADJ	vol-4
proud	ADJ	vol-4
good	ADJ	vol-4
simple	ADJ	vol-4
same	ADJ	vol-4
many	ADJ	vol-4
sharp	ADJ	vol-4
many	ADJ	vol-4
many	ADJ	vol-4
many	ADJ	vol-4
many	ADJ	vol-4
special	ADJ	vol-4
