word	nodeType	synsetCount	unit
real	ADJ	13	vol-15
grand	ADJ	10	vol-15
other	ADJ	4	vol-15
big	ADJ	17	vol-15
exciting	ADJ	10	vol-15
bad	ADJ	17	vol-15
live	ADJ	19	vol-15
good	ADJ	27	vol-15
nice	ADJ	6	vol-15
further	ADJ	11	vol-15
true	ADJ	15	vol-15
next	ADJ	4	vol-15
secondhand	ADJ	3	vol-15
such	ADJ	2	vol-15
canadian	ADJ	3	vol-15
good	ADJ	27	vol-15
middle	ADJ	9	vol-15
future	ADJ	7	vol-15
serious	ADJ	6	vol-15
serious	ADJ	6	vol-15
wrong	ADJ	13	vol-15
young	ADJ	14	vol-15
own	ADJ	2	vol-15
much	ADJ	7	vol-15
young	ADJ	14	vol-15
such	ADJ	2	vol-15
terrible	ADJ	4	vol-15
amazing	ADJ	4	vol-15
such	ADJ	2	vol-15
wonderful	ADJ	1	vol-15
stupid	ADJ	4	vol-15
stupi	ADJ	0	vol-15
pathetic	ADJ	3	vol-15
least	ADJ	3	vol-15
pathetic	ADJ	3	vol-15
chure	ADJ	0	vol-15
right	ADJ	36	vol-15
tough	ADJ	12	vol-15
next	ADJ	4	vol-15
own	ADJ	2	vol-14
great	ADJ	7	vol-14
good	ADJ	27	vol-14
popular	ADJ	4	vol-14
expensive	ADJ	1	vol-14
high	ADJ	18	vol-14
exact	ADJ	4	vol-14
same	ADJ	6	vol-14
everyday	ADJ	3	vol-14
comic	ADJ	3	vol-14
same	ADJ	6	vol-14
same	ADJ	6	vol-14
cross	ADJ	16	vol-14
-	ADJ	0	vol-14
legged	ADJ	1	vol-14
cute	ADJ	2	vol-14
curious	ADJ	3	vol-14
vulgar	ADJ	4	vol-14
4th	ADJ	1	vol-14
old	ADJ	9	vol-14
drunk	ADJ	9	vol-14
drunk	ADJ	9	vol-14
eld	ADJ	2	vol-14
excited	ADJ	12	vol-14
italian	ADJ	3	vol-14
raw	ADJ	14	vol-14
sweet	ADJ	16	vol-14
miraculous	ADJ	2	vol-14
many	ADJ	1	vol-14
raw	ADJ	14	vol-14
raw	ADJ	14	vol-14
easy	ADJ	15	vol-14
henohenou_chi	ADJ	0	vol-14
right	ADJ	36	vol-14
right	ADJ	36	vol-14
tyrannical	ADJ	2	vol-14
refined	ADJ	11	vol-14
ahem	ADJ	1	vol-14
maaa	ADJ	0	vol-14
interested	ADJ	5	vol-14
maaa	ADJ	0	vol-14
first	ADJ	16	vol-14
hey	ADJ	0	vol-14
usoooooopp	ADJ	0	vol-14
odd	ADJ	6	vol-14
new	ADJ	12	vol-14
new	ADJ	12	vol-14
esp	ADJ	1	vol-14
new	ADJ	12	vol-14
good	ADJ	27	vol-14
egyptian	ADJ	3	vol-14
striped	ADJ	15	vol-14
ancient	ADJ	4	vol-14
striped	ADJ	15	vol-14
egyptian	ADJ	3	vol-14
mean	ADJ	16	vol-14
sixth	ADJ	4	vol-10
whole	ADJ	8	vol-10
small	ADJ	13	vol-10
bottom	ADJ	12	vol-10
upper	ADJ	6	vol-10
other	ADJ	4	vol-10
bzzzt	ADJ	0	vol-10
cute	ADJ	2	vol-10
main	ADJ	5	vol-10
short	ADJ	23	vol-10
cut	ADJ	70	vol-10
funny	ADJ	5	vol-10
full	ADJ	13	vol-10
chinese	ADJ	4	vol-10
fine	ADJ	10	vol-10
decorative	ADJ	1	vol-10
real	ADJ	13	vol-10
deep	ADJ	21	vol-10
decorative	ADJ	1	vol-10
