character	Source Node Attribute	countSpeechesInEpisode	Episode ID
MOUNTAIN MAN	character	17	ATE10.xml
LADYBUG KID	character	1	ATE10.xml
LADYBUG LADY	character	1	ATE10.xml
MARAUDER	character	6	ATE10.xml
MOUNTAIN 2	character	2	ATE10.xml
MUSHROOM CREATURES	character	2	ATE10.xml
COAL MAN	character	2	ATE10.xml
CACTUS CREATURE	character	3	ATE10.xml
DRAGON	character	3	ATE10.xml
ICE CUBE CREATURE	character	1	ATE10.xml
FISH	character	2	ATE10.xml
ELECTROIDS	character	1	ATE10.xml
TOAD	character	1	ATE10.xml
NAKED WIZARD	character	2	ATE10.xml
JOSHUA	character	2	ATE10.xml
MARGARET	character	1	ATE10.xml
REAPER	character	4	ATE11.xml
REAPER	character	1	ATE18.xml
HOST	character	4	ATE11.xml
BUFO	character	36	ATE11.xml
TADPOLE	character	1	ATE11.xml
LEONARD	character	1	ATE11.xml
SHADOW HORSE	character	1	ATE11.xml
JEREMY	character	1	ATE11.xml
OLD WIZARD	character	5	ATE11.xml
ROCK	character	1	ATE11.xml
HAG	character	4	ATE13.xml
PENNY	character	27	ATE13.xml
HAG: HEED MY WARNING BOY	character	1	ATE13.xml
BIG GUY	character	2	ATE13.xml
CROSSBOW GUY	character	1	ATE13.xml
TWO-HEADED THIEF HEAD 1	character	1	ATE13.xml
TWO-HEADED THIEF HEAD 2	character	2	ATE13.xml
CYCLOPS	character	2	ATE13.xml
CYCLOPS	character	2	ATE20.xml
WIZARD THIEF	character	1	ATE13.xml
PHIL	character	2	ATE13.xml
GOBLIN THIEF #1	character	1	ATE13.xml
GOBLIN THIEF #2	character	2	ATE13.xml
BASKETS & BOOTS OWNER	character	1	ATE13.xml
MARCELINE	character	29	ATE12.xml
MARCELINE	character	48	ATE22.xml
KING WORM	character	1	ATE12.xml
PAT MCHALE	character	2	ATE16.xml
FIRE NEWT	character	2	ATE16.xml
BOTH	character	1	ATE16.xml
BOTH	character	2	ATE18.xml
FEAR FEASTER	character	13	ATE16.xml
WISE MAN 1	character	4	ATE16.xml
LIMO DRIVER	character	1	ATE16.xml
OLD LADY PRINCESS	character	7	ATE17.xml
SNOWBALL	character	2	ATE17.xml
SNOWMAN PRIEST	character	2	ATE17.xml
OLD LADY IN EYE	character	3	ATE17.xml
ICE KING FLASHBACK	character	1	ATE17.xml
NEPTR	character	34	ATE15.xml
BALLOONS	character	3	ATE15.xml
ONE BALLOON	character	2	ATE15.xml
PENGUIN	character	4	ATE15.xml
ICE TOADS	character	1	ATE15.xml
IMAGINARY FINN & JAKE	character	1	ATE15.xml
IMAGINARY NEPTR	character	2	ATE15.xml
WITCH	character	25	ATE14.xml
JAKE'S SUBCONSCIOUS	character	7	ATE14.xml
JAKE & HIS SUBCONSCIOUS	character	1	ATE14.xml
GARY	character	3	ATE14.xml
HATCHLINGS	character	2	ATE14.xml
WITCH IN JAKE'S MEMORY	character	1	ATE14.xml
JAKE: WELL, I'M GLAD YOU LEARNED YOUR LESSON	character	1	ATE14.xml
DUKE OF NUTS	character	15	ATE19.xml
DUKE OF NUTS	character	4	ATE22.xml
DR. ICE CREAM	character	2	ATE19.xml
DUCHESS OF NUTS	character	5	ATE19.xml
SQUIRREL	character	4	ATE19.xml
MARQUIS OF NUTS	character	3	ATE19.xml
TURTLE KING	character	1	ATE19.xml
SWAMP GIANT	character	7	ATE25.xml
YOUNG BILLY	character	1	ATE25.xml
BILLY	character	13	ATE25.xml
COBBLER	character	17	ATE25.xml
TOWNSPERSON	character	1	ATE25.xml
FINE LADY	character	4	ATE25.xml
TOWNSPERSON WITH FIRE-SPITTING BELLY BUTTON	character	1	ATE25.xml
STONESY	character	2	ATE24.xml
OCULUS	character	1	ATE24.xml
ICE KING'S CROWN	character	1	ATE24.xml
STARCHIE	character	2	ATE24.xml
JAKE AS SANDWICH PUPPET	character	1	ATE18.xml
DEMON CAT	character	10	ATE18.xml
BUCKET KNIGHT	character	7	ATE18.xml
GUARDIAN ANGEL	character	10	ATE18.xml
SOFT PERSON #1	character	7	ATE26.xml
OLD SOFT PERSON	character	3	ATE26.xml
SOFT PEOPLE	character	1	ATE26.xml
SOFT PERSON #2	character	1	ATE26.xml
SOFT PERSON #3	character	1	ATE26.xml
SOFT CHILD	character	2	ATE26.xml
CUBE PERSON #1	character	4	ATE26.xml
CUBE PEOPLE	character	1	ATE26.xml
CUBE PERSON #2	character	3	ATE26.xml
ALARM	character	1	ATE26.xml
FINN: LET'S GO! OH, WAIT--WHAT IF THESE GUYS THINK YOU'RE THE GUT GRINDER? HMM... SNAPS FINGERS AH-HA! REACHES INTO HIS PACK GOT THE PERFECT THING FOR YA	character	1	ATE26.xml
SPIKY GUARD	character	1	ATE26.xml
SPIKY GUARDS	character	1	ATE26.xml
SPIKY MAYOR	character	9	ATE26.xml
SPIKY MAYOR: HIS FACE IS WEIRD. THE TRUTH IS OBVIOUS	character	1	ATE26.xml
OLD MAN PRISONER	character	2	ATE26.xml
SPIKY PERSON	character	1	ATE26.xml
SPIKY PEOPLE	character	1	ATE26.xml
SHARON	character	2	ATE26.xml
FINN: YEAH, MAN!! HE SLAPS JAKE'S NOSE AGAIN, MAKING HIM SNORT AND LAUGH AGAIN I WROTE ON MY ARM THIS TO-DO LIST OF COOL JUNK. THE CLOUDS BEGIN TO GET DARKER AND BIGGER NUMBER ONE: BACK FLIP OFF THIS BRIDGE AND DO THE SPLITS. NUMBER TWO	character	1	ATE23.xml
BMO	character	4	ATE23.xml
BMO	character	1	ATE21.xml
RIDDLE MASTER	character	5	ATE23.xml
BAZOOKA GOBLIN	character	1	ATE23.xml
BELLAMY BUG	character	2	ATE23.xml
BELLAMY	character	1	ATE23.xml
OLD MAN HENCHMAN	character	5	ATE22.xml
EBERHARDT	character	5	ATE22.xml
LISBY	character	6	ATE22.xml
MARCELINE (AS A BAT)	character	3	ATE22.xml
OFF SCREEN	character	1	ATE20.xml
MAN	character	3	ATE20.xml
MAGIC MAN	character	15	ATE20.xml
JAKE AS FINN	character	1	ATE20.xml
MONSTER	character	1	ATE20.xml
TOWNSPERSON (RED SHIRT)	character	1	ATE20.xml
TOWNSPERSON (GREEN SHIRT)	character	1	ATE20.xml
TOWNSPERSON (BLUE SHIRT)	character	1	ATE20.xml
TOWNSPEOPLE (ALL)	character	1	ATE20.xml
GORK	character	14	ATE20.xml
KIM	character	6	ATE20.xml
ZAP	character	4	ATE20.xml
TRUDY	character	1	ATE20.xml
ALL	character	1	ATE20.xml
DONNY	character	42	ATE21.xml
BARN HOUSE	character	1	ATE21.xml
JAIL HOUSE	character	4	ATE21.xml
BANK HOUSE	character	2	ATE21.xml
WELL	character	1	ATE21.xml
WOLF	character	2	ATE21.xml
WHY-WOLF	character	4	ATE21.xml
