<xml><header>title	year	country	runtime</header>
<movie>Tarzan the Ape Man	1932	USA	100 min</movie>
<movie>The Most Dangerous Game	1932	USA	63 min</movie>
<movie>Frisco Jenny	1932	USA	73 min</movie>
<movie>No Man of Her Own	1932	USA	85 min</movie>
<movie>If I Had a Million	1932	USA	88 min</movie>
<movie>Island of Lost Souls	1932	USA	70 min</movie>
<movie>The Purchase Price	1932	USA	68 min</movie>
<movie>County Hospital	1932	USA	19 min</movie>
<movie>Hot Saturday	1932	USA	73 min</movie>
<movie>Rasputin and the Empress	1932	USA	121 min</movie>
<movie>Doctor X	1932	USA	76 min</movie>
<movie>Murders in the Rue Morgue	1932	USA	61 min</movie>
<movie>I Am a Fugitive from a Chain Gang	1932	USA	92 min</movie>
<movie>The Bitter Tea of General Yen	1932	USA	88 min</movie>
<movie>Blonde Venus	1932	USA	93 min</movie>
<movie>Boo	1932	USA	10 min</movie>
<movie>Red-Headed Woman	1932	USA	79 min</movie>
<movie>Night After Night	1932	USA	73 min</movie>
<movie>Trouble in Paradise	1932	USA	83 min</movie>
<movie>The Sign of the Cross	1932	USA	108 min</movie>
<movie>The Mummy	1932	USA	73 min</movie>
<movie>The Greeks Had a Word for Them	1932	USA	79 min</movie>
<movie>Hell's House	1932	USA	72 min</movie>
<movie>Shanghai Express	1932	USA	82 min</movie>
<movie>The Beast of the City	1932	USA	86 min</movie>
<movie>Crooner	1932	USA	68 min</movie>
<movie>Choo-Choo!	1932	USA	20 min</movie>
<movie>Santa's Workshop	1932	USA	7 min</movie>
<movie>Bird of Paradise	1932	USA	80 min</movie>
<movie>Babes in the Woods	1932	USA	8 min</movie>
<movie>Letty Lynton	1932	USA	84 min</movie>
<movie>Speak Easily	1932	USA	82 min</movie>
<movie>One Hour with You	1932	USA	80 min</movie>
<movie>The Death Kiss	1932	USA	75 min</movie>
<movie>Ars�ne Lupin	1932	USA	84 min</movie>
<movie>A Bill of Divorcement	1932	USA	70 min</movie>
<movie>Law and Order	1932	USA	75 min</movie>
<movie>Tiger Shark	1932	USA	77 min</movie>
<movie>Haunted Gold	1932	USA	58 min</movie>
<movie>The Phantom of Crestwood	1932	USA	76 min</movie>
<movie>Union Depot	1932	USA	67 min</movie>
<movie>The Cabin in the Cotton	1932	USA	78 min</movie>
<movie>Beauty and the Boss	1932	USA	66 min</movie>
