word	nodeType	synsetCount	unit	count
secondhand	ADJ	3	vol-15	1
serious	ADJ	6	vol-15	2
stupi	ADJ	0	vol-15	1
stupid	ADJ	4	vol-15	1
such	ADJ	2	vol-15	3
terrible	ADJ	4	vol-15	1
tough	ADJ	12	vol-15	1
true	ADJ	15	vol-15	1
wonderful	ADJ	1	vol-15	1
wrong	ADJ	13	vol-15	1
young	ADJ	14	vol-15	2
-	ADJ	0	vol-14	1
4th	ADJ	1	vol-14	1
ahem	ADJ	1	vol-14	1
ancient	ADJ	4	vol-14	1
comic	ADJ	3	vol-14	1
cross	ADJ	16	vol-14	1
curious	ADJ	3	vol-14	1
cute	ADJ	2	vol-14	1
drunk	ADJ	9	vol-14	2
easy	ADJ	15	vol-14	1
egyptian	ADJ	3	vol-14	2
eld	ADJ	2	vol-14	1
esp	ADJ	1	vol-14	1
everyday	ADJ	3	vol-14	1
exact	ADJ	4	vol-14	1
excited	ADJ	12	vol-14	1
expensive	ADJ	1	vol-14	1
first	ADJ	16	vol-14	1
good	ADJ	27	vol-14	2
great	ADJ	7	vol-14	1
henohenou_chi	ADJ	0	vol-14	1
hey	ADJ	0	vol-14	1
high	ADJ	18	vol-14	1
interested	ADJ	5	vol-14	1
italian	ADJ	3	vol-14	1
legged	ADJ	1	vol-14	1
maaa	ADJ	0	vol-14	2
many	ADJ	1	vol-14	1
mean	ADJ	16	vol-14	1
miraculous	ADJ	2	vol-14	1
new	ADJ	12	vol-14	3
odd	ADJ	6	vol-14	1
old	ADJ	9	vol-14	1
own	ADJ	2	vol-14	1
popular	ADJ	4	vol-14	1
raw	ADJ	14	vol-14	3
refined	ADJ	11	vol-14	1
right	ADJ	36	vol-14	2
same	ADJ	6	vol-14	3
striped	ADJ	15	vol-14	2
sweet	ADJ	16	vol-14	1
tyrannical	ADJ	2	vol-14	1
usoooooopp	ADJ	0	vol-14	1
vulgar	ADJ	4	vol-14	1
big	ADJ	17	vol-10	1
bottom	ADJ	12	vol-10	1
bzzzt	ADJ	0	vol-10	1
careful	ADJ	5	vol-10	1
certain	ADJ	7	vol-10	1
chinese	ADJ	4	vol-10	1
crazy	ADJ	6	vol-10	2
cute	ADJ	2	vol-10	2
decorative	ADJ	1	vol-10	2
deep	ADJ	21	vol-10	1
dreadful	ADJ	3	vol-10	1
favorite	ADJ	5	vol-10	1
final	ADJ	5	vol-10	1
fine	ADJ	10	vol-10	1
first	ADJ	16	vol-10	1
full	ADJ	13	vol-10	1
