<?xml version="1.0" encoding="UTF-8"?>qui-gon (o.s.)	SPEAKERTPM	movie
captain	SPEAKERTPM	movie
captain	SPEAKERanh	movie
captain	SPEAKEResb	movie
nute	SPEAKERTPM	movie
pk-4	SPEAKERTPM	movie
pk-4	SPEAKERAOTC	movie
tc-14	SPEAKERTPM	movie
eg-9	SPEAKERTPM	movie
obi-wan	SPEAKERTPM	movie
obi-wan	SPEAKERAOTC	movie
qui-gon	SPEAKERTPM	movie
dofine	SPEAKERTPM	movie
darth sidious	SPEAKERTPM	movie
darth sidious	SPEAKERAOTC	movie
pilot	SPEAKERTPM	movie
pilot	SPEAKERROTJ	movie
pilot	SPEAKEResb	movie
gui-gon	SPEAKERTPM	movie
owo-1	SPEAKERTPM	movie
rune	SPEAKERTPM	movie
p-59	SPEAKERTPM	movie
tey how	SPEAKERTPM	movie
amidala	SPEAKERTPM	movie
palpatine	SPEAKERTPM	movie
palpatine	SPEAKERAOTC	movie
capt. panaka	SPEAKERTPM	movie
bibble	SPEAKERTPM	movie
oom-9	SPEAKERTPM	movie
jar jar	SPEAKERTPM	movie
jar jar	SPEAKERAOTC	movie
capt. tarpals	SPEAKERTPM	movie
boss nass	SPEAKERTPM	movie
battle droid 3b3 (o.s.)	SPEAKERTPM	movie
battle droid 3b3	SPEAKERTPM	movie
padme	SPEAKERTPM	movie
padme	SPEAKERAOTC	movie
guard droid	SPEAKERTPM	movie
droid guard	SPEAKERTPM	movie
ric olie	SPEAKERTPM	movie
watto (subtitled)	SPEAKERTPM	movie
watto	SPEAKERTPM	movie
watto	SPEAKERAOTC	movie
anakin (subtitled)	SPEAKERTPM	movie
anakin	SPEAKERTPM	movie
anakin	SPEAKERROTJ	movie
anakin	SPEAKERAOTC	movie
obi-wan (v.o.)	SPEAKERTPM	movie
obi-wan (v.o.)	SPEAKERAOTC	movie
vendor	SPEAKERTPM	movie
sebulba (subtitled)	SPEAKERTPM	movie
anakin (o.s.)	SPEAKERTPM	movie
jira	SPEAKERTPM	movie
shmi	SPEAKERTPM	movie
shmi	SPEAKERAOTC	movie
threepio	SPEAKERTPM	movie
threepio	SPEAKERROTJ	movie
threepio	SPEAKERAOTC	movie
threepio	SPEAKERanh	movie
threepio	SPEAKEResb	movie
darth maul	SPEAKERTPM	movie
qui-gon (v.o.)	SPEAKERTPM	movie
kitster	SPEAKERTPM	movie
wald (subtitled)	SPEAKERTPM	movie
amee	SPEAKERTPM	movie
seek	SPEAKERTPM	movie
shmi (o.s.)	SPEAKERTPM	movie
fode/beed	SPEAKERTPM	movie
fode/beed (o.s.)	SPEAKERTPM	movie
jabba (subtitled)	SPEAKERTPM	movie
jabba	SPEAKERTPM	movie
jabba	SPEAKERROTJ	movie
jabba	SPEAKERanh	movie
sebulba	SPEAKERTPM	movie
jabba (sutitled)	SPEAKERTPM	movie
fanta	SPEAKERTPM	movie
ody	SPEAKERTPM	movie
greedo	SPEAKERTPM	movie
greedo	SPEAKERanh	movie
wald	SPEAKERTPM	movie
valorum	SPEAKERTPM	movie
mace windu	SPEAKERTPM	movie
mace windu	SPEAKERAOTC	movie
ki-adi	SPEAKERTPM	movie
yoda	SPEAKERTPM	movie
yoda	SPEAKERROTJ	movie
yoda	SPEAKERAOTC	movie
yoda	SPEAKEResb	movie
guard	SPEAKERTPM	movie
guard	SPEAKERROTJ	movie
rabe	SPEAKERTPM	movie
amidala (o.s.)	SPEAKERTPM	movie
lott dod	SPEAKERTPM	movie
aks moe	SPEAKERTPM	movie
mas amedda	SPEAKERTPM	movie
mas amedda	SPEAKERAOTC	movie
bail organa	SPEAKERTPM	movie
bail organa	SPEAKERAOTC	movie
assembly	SPEAKERTPM	movie
panaka	SPEAKERTPM	movie
gungan lookout	SPEAKERTPM	movie
general ceel	SPEAKERTPM	movie
fighter pilot	SPEAKERTPM	movie
bravo two	SPEAKERTPM	movie
sabe	SPEAKERTPM	movie
battle droid captain	SPEAKERTPM	movie
bravo three	SPEAKERTPM	movie
anakin:	SPEAKERrots	movie
obi-wan:	SPEAKERrots	movie
odd ball:	SPEAKERrots	movie
clone pilot 2:	SPEAKERrots	movie
general grievous:	SPEAKERrots	movie
captain:	SPEAKERrots	movie
bodyguard i:	SPEAKERrots	movie
super battle droid r77:	SPEAKERrots	movie
battle droid:	SPEAKERrots	movie
super battle droid 1:	SPEAKERrots	movie
super battle droid 2:	SPEAKERrots	movie
droid 1:	SPEAKERrots	movie
droid 2:	SPEAKERrots	movie
palpatine:	SPEAKERrots	movie
count dooku:	SPEAKERrots	movie
pilot:	SPEAKERrots	movie
anakinn:	SPEAKERrots	movie
anakin/obi-wan:	SPEAKERrots	movie
bodyguard:	SPEAKERrots	movie
super battle droid:	SPEAKERrots	movie
flreship pilot:	SPEAKERrots	movie
mace wlndu:	SPEAKERrots	movie
bail organa:	SPEAKERrots	movie
